ABS	ABSOLUTE
RETURN-ALIGN	RIGHT-ALIGNED
HEIGHT	ROW-HEIGHT-CHARS
HEIGHT-P	ROW-HEIGHT-PIXELS
SCREEN-VAL	SCREEN-VALUE
SCROLLBAR-H	SCROLLBAR-HORIZONTAL
SCROLLBAR-V	SCROLLBAR-VERTICAL
SCROLLED-ROW-POS	SCROLLED-ROW-POSITION
SCROLL-TO-I	SCROLL-TO-ITEM
send-sql	send-sql-statement
SET-BLUE	SET-BLUE-VALUE
SET-GREEN	SET-GREEN-VALUE
SET-RED	SET-RED-VALUE
SIDE-LABEL-H	SIDE-LABEL-HANDLE
SIDE-LAB	SIDE-LABELS
SIZE-C	SIZE-CHARS
SIZE-P	SIZE-PIXELS
STOPPE	STOPPED
STORED-PROC	STORED-PROCEDURE
SUB-AVE	SUB-AVERAGE
SUM-MAX	SUB-MAXIMUM
SUB-	SUB-MENU
SUB-MIN	SUB-MINIMUM
SUBST	SUBSTITUTE
SUBSTR	SUBSTRING
SUPPRESS-W	SUPPRESS-WARNINGS
SYSTEM-ALERT	SYSTEM-ALERT-BOXES
TEMP-DIR	TEMP-DIRECTORY
TITLE-BGC	TITLE-BGCOLOR
TITLE-DC	TITLE-DCOLOR
TITLE-FGC	TITLE-FGCOLOR
TITLE-FO	TITLE-FONT
TRUNC	TRUNCATE
UNBUFF	UNBUFFERED
VAR	VARIABLE
VERT	VERTICAL
VIRTUAL-HEIGHT	VIRTUAL-HEIGHT-CHARS
VIRTUAL-HEIGHT-P	VIRTUAL-HEIGHT-PIXELS
VIRTUAL-WIDTH	VIRTUAL-WIDTH-CHARS
VIRTUAL-WIDTH-P	VIRTUAL-WIDTH-PIXELS
WIDGET-E	WIDGET-ENTER
WIDGET-L	WIDGET-LEAVE
WIDTH	WIDTH-CHARS
WIDTH-P	WIDTH-PIXELS
WINDOW-STA	WINDOW-STATE
&GLOB	&GLOBAL-DEFINE
&SCOP	&SCOPED-DEFINE
&UNDEF	&UNDEFINE
ACCUM	ACCUMULATE
AMBIG	AMBIGUOUS
ANALYZ	ANALYZE
