AVAILABLE	Attribute	0	0
AVAILABLE	Function	1	58
AVAILABLE-FORMATS	Attribute	0	0
AVE	Abbreviation	0	0
AVERAGE	Option	0	0
AVG	Option	0	0
BACK	Abbreviation	0	0
BACKGROUND	Attribute	1	0
BACKWARD	Abbreviation	0	0
BACKWARDS	Option	0	0
BandIndex	Property	0	0
BASE	Option	0	2
BASE-ADE	Attribute	0	0
BASE-KEY	Option	0	1
BASE64-DECODE	Function	0	2
BASE64-ENCODE	Function	0	2
BASIC-LOGGING	Attribute	0	0
BATCH	Abbreviation	0	0
BATCH-MODE	Attribute	0	2
BATCH-SIZE	Attribute	0	0
Batching	Property	0	0
BEFORE-BUFFER	Attribute	0	0
BEFORE-H	Abbreviation	0	0
BEFORE-HIDE	Option	1	3
BEFORE-ROWID	Attribute	0	0
BEFORE-TABLE	Attribute	0	0
BEGIN-EVENT-GROUP	Method	0	0
BEGINS	Operator	1	12
BELL	Statement	1	1
BETWEEN	Option	1	1
BGC	Abbreviation	0	0
BGCOLOR	Attribute	0	49
BIG-ENDIAN	Option	1	0
BINARY	Option	0	1
BIND	Option	0	0
BIND-WHERE	Option	0	0
BLANK	Attribute	1	1
BLOB	Type	0	0
BLOCK-ITERATION-DISPLAY	Attribute	0	0
BlockId	Property	0	0
Boolean	Property	0	0
BORDER-B	Abbreviation	0	0
BORDER-BOTTOM-CHARS	Attribute	0	0
BORDER-BOTTOM-P	Abbreviation	0	0
BORDER-BOTTOM-PIXELS	Attribute	0	1
BORDER-L	Abbreviation	0	0
BORDER-LEFT-CHARS	Attribute	0	0
BORDER-LEFT-P	Abbreviation	0	0
BORDER-LEFT-PIXELS	Attribute	0	1
BORDER-R	Abbreviation	0	0
BORDER-RIGHT-CHARS	Attribute	0	0
BORDER-RIGHT-P	Abbreviation	0	0
BORDER-RIGHT-PIXELS	Attribute	0	1
BORDER-T	Abbreviation	0	0
BORDER-TOP-CHARS	Attribute	0	0
BORDER-TOP-P	Abbreviation	0	0
BORDER-TOP-PIXELS	Attribute	0	1
BOX	Attribute	0	0
BOX	Function	0	1
BOX-SELECT	Abbreviation	0	0
BOX-SELECTABLE	Attribute	0	0
BPMDataTypeName	Property	0	0
BREAK	Option	1	2
BROWSE	Option	0	37
BROWSE-NAME	Preprocessor	0	0
BUFFER	Option	0	21
BUFFER-CHARS	Attribute	0	0
BUFFER-COMPARE	Method	0	0
BUFFER-COMPARE	Statement	0	1
BUFFER-COPY	Method	0	0
BUFFER-COPY	Statement	0	8
BUFFER-CREATE	Method	0	0
BUFFER-DELETE	Method	0	0
BUFFER-FIELD	Attribute	0	5
BUFFER-FIELD	Method	0	0
BUFFER-GROUP-ID	Attribute	0	0
BUFFER-GROUP-ID	Function	0	0
BUFFER-GROUP-NAME	Attribute	0	0
BUFFER-GROUP-NAME	Function	0	0
BUFFER-HANDLE	Attribute	0	0
BUFFER-LINES	Attribute	0	0
BUFFER-NAME	Attribute	0	0
BUFFER-RELEASE	Method	0	0
BUFFER-TENANT-ID	Attribute	0	0
BUFFER-TENANT-ID	Function	0	0
BUFFER-TENANT-NAME	Attribute	0	0
BUFFER-TENANT-NAME	Function	0	0
BUFFER-VALIDATE	Method	0	0
BUFFER-VALUE	Method	0	0
BufferHdl	Property	0	0
BufferName	Property	0	0
BuffStatusId	Property	0	0
BUTTON	Widget	0	21
BUTTONS	Option	0	10
BY	Option	1	107
BY-POINTER	Option	0	1
BY-VARIANT-POINTER	Option	0	0
BYTE	Type	0	0
BYTES-READ	Attribute	0	0
BYTES-WRITTEN	Attribute	0	0
C	Method	0	0
C-Win	Appbuilder	0	0
CACHE	Attribute	0	1
